metric,mean,std,min,max
accuracy,0.9254460938671466,0.16522828032335354,0.38461538461538464,1.0
f1_stress,0.8775474525474525,0.22550474771083756,0.3076923076923077,1.0
auc_stress,0.9988095238095238,0.004610694459770717,0.9821428571428572,1.0
